0654,40
0584,13
0284,58
0467,48
0554,44
0326,35
0702,46
0270,24
0842,23
0832,77
0916,76
0684,60
0880,65
0396,74
0996,65
0187,40
0941,49
0446,22
0344,50
0368,58
0133,42
0546,40
0224,72
0912,39
0356,54
0319,50
0241,78
0615,42
0341,63
0148,39
0772,29
0951,36
0374,21
0306,90
0390,20
0004,42
0212,40
0509,38
0681,28
0955,19
0568,28
0701,31
0634,59
0846,51
0803,20
0980,27
0915,39
0168,24
0035,28
0291,58
0258,42
0257,18
0700,68
0117,28
0871,48
0005,55
0531,47
0333,8
0095,70
0428,77
0389,48
0236,40
0218,34
0308,46
0386,61
0193,35
0510,61
0139,45
0903,66
0136,30
0804,53
0070,6
0758,60
0351,47
0596,32
0799,31
0722,59
0814,35
0687,58
0118,68
0392,24
0637,61
0958,22
0625,20
0071,13
0008,40
0705,23
0077,23
0069,42
0494,41
0488,45
0526,52
0775,47
0950,50
0401,83
0492,76
0471,35
0822,44
0041,11
0313,32
0311,48
0028,22
0544,29
0887,41
0461,62
0347,49
0201,14
0623,23
0262,47
0551,45
0115,39
0153,50
0479,30
0373,38
0090,16
0589,29
0365,21
0673,54
0527,73
0277,50
0169,25
0334,29
0785,42
0205,50
0831,53
0820,39
0923,52
0316,56
0960,48
0399,44
0092,74
0317,45
0437,39
0919,31
0340,37
0391,51
0583,53
0400,44
0629,54
0757,60
0905,73
0741,24
0160,17
0064,46
0954,56
0355,33
0180,37
0547,37
0957,11
0372,40
0815,44
0264,36
0059,35
0229,58
0682,59
0414,30
0862,12
0643,79
0974,51
0565,40
0864,48
0152,38
0120,62
0769,19
0091,63
0738,1
0240,31
0303,51
0219,57
0998,52
0439,41
0946,31
0621,34
0200,30
0707,55
0453,87
0503,21
0594,17
0824,28
0562,46
0297,54
0154,30
0125,89
0719,73
0780,30
0283,28
0158,71
0003,61
0727,31
0288,39
0504,33
0271,48
0627,43
0830,20
0394,37
0648,57
0655,12
0097,52
0766,62
0619,33
0407,63
0985,39
0150,45
0737,24
0904,29
0332,66
0892,60
0432,40
0179,17
0850,60
0933,35
0942,78
0770,55
0416,37
0869,35
0805,38
0387,45
0384,73
0491,35
0442,50
0489,64
0945,21
0641,56
0282,63
0420,25
0969,32
0006,75
0855,66
0656,38
0214,34
0521,59
0076,30
0774,59
0966,37
0123,61
0022,49
0754,56
0818,46
0163,56
0441,53
0477,43
0208,53
0729,39
0609,43
0473,22
0808,42
0874,37
0574,73
0376,52
0696,45
0016,45
0460,64
0714,30
0080,34
0812,53
0352,46
0366,45
0537,43
0181,72
0176,27
0564,55
0982,47
0104,42
0718,50
0893,34
0275,39
0689,58
0013,37
0519,67
0046,59
0267,50
0540,45
